Name : RNG Data
TYPE : TSP
DIMENSION : 225
GTSP_SETS : 6
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 20.1944 16.2314
2 18.9008 13.4081
3 14.8357 17.4229
4 13.1642 12.4011
5 16.3465 21.9868
6 26.2204 14.9495
7 22.8871 16.6162
8 9.34315 26.4902
9 17.0446 18.865
10 15.9456 14.2793
11 10.7078 14.3912
12 13.5417 26.875
13 9.67984 21.1535
14 11.6376 18.0447
15 7.0384 35.2363
16 10.3181 30.8152
17 7.48988 28.6515
18 8.25654 31.5181
19 13.6382 23.8618
20 11.0098 28.1569
21 10.7215 23.8618
22 35.1169 10.1965
23 44.9839 11.6962
24 47.4948 17.501
25 50.6677 22.8282
26 52.9306 27.3541
27 49.9513 18.9069
28 41.5951 12.8638
29 47.9802 12.0453
30 50.9426 15.8024
31 47.2121 6.85235
32 41.2792 8.55038
33 49.6469 8.71201
34 48.486 14.3965
35 39.1822 10.5504
36 44.6108 8.87287
37 90 16.6667
38 96.4477 10.219
39 93.1144 13.5523
40 61.8096 80.6275
41 79.9377 90.0633
42 63.5327 83.4435
43 63.5982 89.066
44 61.8397 74.375
45 67.5029 74.5536
46 60.8528 68.125
47 72.9079 87.3519
48 71.6704 56.607
49 62.6925 71.25
50 76.1323 87.4136
51 65.6664 71.4147
52 68.9693 61.135
53 69.7692 64.2396
54 76.3221 58.736
55 81.525 59.4614
56 79.2851 58.0872
57 69.7475 79.7372
58 79.1785 52.5642
59 71.3472 85.104
60 97.2106 55.4532
61 70.4259 74.3714
62 75.925 53.4178
63 66.6418 83.0694
64 74.0785 67.2296
65 68.0675 85.3132
66 60.0003 83.75
67 63.6489 77.5025
68 82.8575 87.9277
69 66.3382 77.5164
70 74.739 81.0196
71 82.4445 84.9558
72 65.178 66.1242
73 79.021 67.0478
74 97.9774 79.1608
75 74.1765 91.2828
76 74.4988 77.1889
77 97.1708 65.5799
78 68.0418 65.6872
79 90.0967 67.023
80 95.8941 60.4722
81 86.3663 62.278
82 89.6214 84.3857
83 62.7776 65.3358
84 75.9824 63.2176
85 61.7235 86.566
86 71.4007 76.8041
87 80.9784 92.547
88 92.8908 68.8462
89 66.2272 69.0781
90 95.6802 85.6895
91 88.5483 87.6831
92 85.3138 77.2804
93 80.5394 78.9053
94 89.4021 73.202
95 93.2597 76.8166
96 78.7713 84.8725
97 71.4245 69.3121
98 76.8857 89.6325
99 89.7102 92.9927
100 95.713 43.2076
101 96.4513 67.8902
102 92.9375 45.8002
103 86.2552 93.945
104 94.228 62.5319
105 75.6894 71.1336
106 98.8369 63.5203
107 73.4723 65.111
108 81.3758 68.6439
109 99.3549 84.6415
110 76.5545 68.3562
111 90.0826 76.6436
112 66.833 88.1872
113 77.9931 76.2654
114 79.055 64.0278
115 84.2565 66.9616
116 78.3983 73.4313
117 74.7333 60.9091
118 71.4232 59.6979
119 72.4706 71.6504
120 64.8414 61.7941
121 86.8288 68.5999
122 69.0909 68.641
123 84.2305 63.7421
124 84.8524 82.7208
125 86.7592 71.7928
126 81.6183 72.2499
127 91.7423 42.8373
128 89.6602 63.9206
129 80.7535 49.1464
130 87.9966 82.369
131 90.8272 89.874
132 91.5801 95.2976
133 84.4294 73.7606
134 97.7982 73.8288
135 99.4281 76.9234
136 84.6022 92.083
137 98.9507 71.2472
138 83.6192 79.6212
139 88.3241 78.7542
140 92.2658 71.8323
141 88.4394 58.1528
142 87.6438 46.0463
143 86.0055 58.9096
144 90.9774 61.6569
145 102.425 98.3048
146 94.6738 73.4579
147 71.655 89.7451
148 77.0063 93.159
149 100.198 91.044
150 94.9308 94.3542
151 97.1007 96.5565
152 103.884 96.0131
153 85.7784 88.9398
154 100.151 96.1113
155 93.2446 83.3081
156 84.0109 57.4308
157 83.6827 54.2852
158 81.3838 62.4044
159 91.7548 48.3311
160 74.4704 56.2747
161 95.5256 47.509
162 95.1012 57.8218
163 89.2575 48.8682
164 92.5482 55.0186
165 89.4668 54.7877
166 88.946 42.5463
167 94.6577 52.65
168 85.3229 51.9155
169 94.343 50.0398
170 94.3359 88.9581
171 101.609 93.8196
172 101.639 87.8208
173 96.5696 91.1333
174 67.608 80.2674
175 68.8599 90.3713
176 72.0611 82.3301
177 78.0994 81.9216
178 94.9335 79.425
179 101.414 79.7584
180 99.9633 81.9959
181 80.6869 54.7724
182 85.0236 46.0884
183 88.0581 51.8409
184 83.9021 48.9849
185 90.7008 38.8385
186 93.4971 39.1294
187 22.8592 80.9482
188 27.8592 70.9482
189 26.1926 75.9482
190 28.4571 41.1462
191 25.2088 35.4743
192 41.2543 35.474
193 24.1156 38.4211
194 21.2424 38.9187
195 28.1702 35.0538
196 50.1636 39.1121
197 19.0236 40.3979
198 18.6554 38.272
199 26.7345 42.5394
200 25.8701 40.4994
201 25.8991 32.8875
202 44.8137 34.4952
203 33.1278 34.2934
204 34.9737 31.3552
205 47.4773 36.9407
206 45.4938 42.5479
207 28.8605 32.467
208 44.3556 39.4719
